"","frequency","ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code"
"1",1,"10.133.70.204","","","","","","","","0","0","0"
"2",4,"10.21.2.13","","","","","","","","0","0","0"
"3",177,"103.41.124.101","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"4",447,"103.41.124.104","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"5",1241,"103.41.124.106","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"6",9181,"103.41.124.108","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"7",447,"103.41.124.111","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"8",723,"103.41.124.112","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"9",177,"103.41.124.115","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"10",4957,"103.41.124.116","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"11",267,"103.41.124.117","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"12",96,"103.41.124.118","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"13",294,"103.41.124.119","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"14",87,"103.41.124.12","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"15",174,"103.41.124.120","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"16",13346,"103.41.124.121","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"17",585,"103.41.124.122","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"18",607,"103.41.124.123","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"19",4683,"103.41.124.124","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"20",8299,"103.41.124.125","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"21",700,"103.41.124.126","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"22",87,"103.41.124.13","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"23",93,"103.41.124.130","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"24",301,"103.41.124.131","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"25",8582,"103.41.124.132","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"26",309,"103.41.124.135","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"27",171,"103.41.124.136","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"28",4506,"103.41.124.137","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"29",348,"103.41.124.138","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"30",306,"103.41.124.139","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"31",93,"103.41.124.140","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"32",528,"103.41.124.141","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"33",315,"103.41.124.142","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"34",435,"103.41.124.144","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"35",2488,"103.41.124.145","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
